tract,name,area_sqmi,pop_est,pop_margin,ccvi
200,Census Tract 2,0.605144614436,1936.0,364.0,0.942519499591305
700,Census Tract 7,0.221861159036,2006.0,236.0,0.996245549382802
1000,Census Tract 10,0.532995278104,3761.0,356.0,0.796234466133747
1300,Census Tract 13,0.154822654878,2103.0,264.0,0.990676216732935
1500,Census Tract 15,0.163605317072,768.0,188.0,0.943239910779845
1800,Census Tract 18,1.817589836876,4609.0,484.0,0.708219614580014
1900,Census Tract 19,0.690275472212,2604.0,453.0,0.891647386431332
2000,Census Tract 20,0.537770201538,4944.0,492.0,0.951039747301922
2100,Census Tract 21,0.406063087298,3846.0,410.0,0.957010847730012
2200,Census Tract 22,0.2216997684,3241.0,497.0,0.988473420983361
2300,Census Tract 23,0.437989089474,3331.0,425.0,0.987808426040094
2400,Census Tract 24,0.368965634934,3211.0,502.0,0.988487275044679
2700,Census Tract 27,0.153388285948,1402.0,258.0,0.965891301034898
2900,Census Tract 29,0.31115767129,4099.0,440.0,0.775910558180131
3000,Census Tract 30,0.170306117282,2042.0,242.0,0.694130034219531
3100,Census Tract 31,0.384844079684,4580.0,457.0,0.483894653717737
3200,Census Tract 32,0.228642268462,1768.0,196.0,0.933029467588424
3300,Census Tract 33,0.142406386762,1550.0,211.0,0.594020587135119
3400,Census Tract 34,0.268735872346,2553.0,253.0,0.801000263227165
3500,Census Tract 35,0.24877131013,1707.0,257.0,0.783322480985301
3600,Census Tract 36,0.28404558885,2622.0,213.0,0.640999709064712
3700,Census Tract 37,0.341003741992,3343.0,289.0,0.810102381513141
3805,Census Tract 38.05,2.638397514942,7090.0,638.0,0.755129466203017
3900,Census Tract 39,0.193036328124,2217.0,408.0,0.9822945096355
4000,Census Tract 40,0.137499416444,1394.0,201.0,0.910322661088098
4100,Census Tract 41,0.145092112274,1153.0,279.0,0.939831811695599
4602,Census Tract 46.02,0.234878974068,2212.0,311.0,0.982710131475042
4701,Census Tract 47.01,0.73784864404,2961.0,322.0,0.995732949114033
4702,Census Tract 47.02,0.33182378084,2237.0,253.0,0.961000817389618
4800,Census Tract 48,0.173065588276,2307.0,333.0,0.987129577035508
4900,Census Tract 49,0.150795611018,1935.0,356.0,0.995719095052715
5000,Census Tract 50,0.155859338748,1915.0,332.0,0.985134592205705
5100,Census Tract 51,0.166219613714,1263.0,188.0,0.971723860849808
5200,Census Tract 52,0.17272079919,1530.0,320.0,0.984857510979344
5300,Census Tract 53,0.186586108112,1842.0,235.0,0.978055166872169
5400,Census Tract 54,0.334992519954,3797.0,366.0,0.889112093210125
5500,Census Tract 55,0.264509599854,2096.0,270.0,0.992546515010875
5600,Census Tract 56,0.265694932994,2358.0,313.0,0.979634529862429
5700,Census Tract 57,0.152053531334,1536.0,316.0,0.971820839279035
5800,Census Tract 58,0.315556531376,4092.0,592.0,0.960668319917984
5900,Census Tract 59,0.35435862407,1534.0,216.0,0.865629459275987
6000,Census Tract 60,0.352841629312,3182.0,222.0,0.720799102256827
6100,Census Tract 61,0.536492976122,2427.0,232.0,0.429212673695294
6200,Census Tract 62,0.274162922058,2331.0,300.0,0.94738227511395
6300,Census Tract 63,0.278175680144,3047.0,373.0,0.99114725481775
6400,Census Tract 64,0.253057814534,2399.0,298.0,0.990385281445256
6500,Census Tract 65,0.175097643102,1712.0,258.0,0.991978498496834
6600,Census Tract 66,0.164857059756,1842.0,335.0,0.961527271719705
6700,Census Tract 67,0.28897611139,3316.0,333.0,0.976697468862997
6800,Census Tract 68,0.39475261531,2842.0,397.0,0.848824482897161
6900,Census Tract 69,0.235782452748,2012.0,270.0,0.956331998725426
7000,Census Tract 70,0.385529024632,3029.0,443.0,0.852689766004904
7100,Census Tract 71,0.277397298512,3261.0,383.0,0.866959449162522
7500,Census Tract 75,0.345619977504,2446.0,406.0,0.983707623889943
7600,Census Tract 76,0.503283184796,3131.0,270.0,0.583297543674928
7700,Census Tract 77,0.551547479204,2521.0,176.0,0.766046466521661
7801,Census Tract 78.01,0.365398824658,2634.0,318.0,0.598343054266358
7802,Census Tract 78.02,0.802128449408,1497.0,67.0,0.272800321414223
7900,Census Tract 79,0.19703750315,1959.0,273.0,0.980909103503692
8000,Census Tract 80,0.187608120106,2073.0,222.0,0.994915559496266
8100,Census Tract 81,0.588198597656,4609.0,629.0,0.993862650836093
8200,Census Tract 82,0.27395095206,3203.0,443.0,0.960363530568986
8301,Census Tract 83.01,0.635281033842,4215.0,559.0,0.911417131932226
