3535 MOUNT READ BLVD, ROCHESTER, NY, 14616
1490 LAKE AVENUE, ROCHESTER, NY, 14615
3701 Mt. Read Boulevard, Rochester, NY, 14616
3800 Dewey Ave, Greece, NY, 14616
525 Titus Avenue, Rochester, NY, 14617
605 Titus Avenue, Rochester, NY, 14617
2833 Ridge Road West, Rochester, NY, 14626
720 E RIDGE RD, ROCHESTER, NY, 14621
1000 North Clinton Avenue, Rochester, NY, 14621
1490 Hudson Ave, Rochester, NY, 14621
437 LYELL AVE, ROCHESTER, NY, 14606
4433 DEWEY AVENUE, ROCHESTER, NY, 14616
2301 Lyell Avenue, Rochester, NY, 14606
430 SPENCERPORT RD, ROCHESTER, NY, 14606
101 PATTONWOOD DRIVE, ROCHESTER, NY, 14617
100 Elmridge Center Dr, Greece, NY, 14626
535 Portland Avenue, Rochester, NY, 14621
792 W MAIN ST, ROCHESTER, NY, 14611
3177 Latta Road, Rochester, NY, 14612
665 LONG POND RD, ROCHESTER, NY, 14612
1792 North Goodman Street, Rochester, NY, 14609
2100 E RIDGE RD, IRONDEQUOIT, NY, 14622
2200 Ridge Road East, Rochester, NY, 14622
670 THURSTON RD, ROCHESTER, NY, 14619
565 MONROE AVENUE, ROCHESTER, NY, 14607
1433 CULVER ROAD, ROCHESTER, NY, 14609
1829 CHILI AVE, ROCHESTER, NY, 14624
2150 Chili Ave, Rochester, NY, 14624
200 Wegmans Market St, Rochester, NY, 14624
1650 ELMWOOD AVE, ROCHESTER, NY, 14620
1750 East Avenue, Rochester, NY, 14610
1575 MT HOPE AVE, ROCHESTER, NY, 14620
335 WESTFALL ROAD, ROCHESTER, NY, 14620
1955 Empire Boulevard, Webster, NY, 14580
2841 NICHOLS ST, SPENCERPORT, NY, 14559
1990 Brandt Point Drive, Webster, NY, 14580
3175 Chili Avenue, Rochester, NY, 14624
650 Hylan Drive, Rochester, NY, 14623
3122 MONROE AVE, ROCHESTER, NY, 14618
1200 Marketplace Dr, Rochester, NY, 14623
3195 Monroe Avenue, Rochester, NY, 14618
1567 Penfield Road, Rochester, NY, 14625
1659 PENFIELD RD, ROCHESTER, NY, 14625
4366 BUFFALO RD, NORTH CHILI, NY, 14514
4374 Buffalo Road, North Chili, NY, 14514
2665 E HENRIETTA RD, HENRIETTA, NY, 14467
745 Calkins Road, Rochester, NY, 14623
1125 RIDGE RD, WEBSTER, NY, 14580
900 Holt Road, Webster, NY, 14580
Marsh Roads, East Rochester, NY, 14445
2157 Penfield Road, Penfield, NY, 14526
2172 PENFIELD RD, PENFIELD, NY, 14526
635 PITTSFORD VICTOR RD, PITTSFORD, NY, 14534
6265 Brockport Spencerport Rd, Brockport, NY, 14420
6600 Pittsford-Palmyra Road, Fairport, NY, 14450
6707 PITTSFORD PALMYRA RD, FAIRPORT, NY, 14450
6720 Pittsford-Palmyra Road, Fairport, NY, 14450
73 NORTH MAIN STREET, BROCKPORT, NY, 14420
6660 4th Section Rd, Brockport, NY, 14420
441 Commerce Dr, Victor, NY, 14564
6296 ONTARIO CENTER RD, ONTARIO, NY, 14519
425 State Route 31, Macedon, NY, 14502
135 WEST MAIN STREET, HONEOYE FALLS, NY, 14472
3 GEDDES ST EXT, HOLLEY, NY, 14470
3130 Main Street, Caledonia, NY, 14423
8 W MAIN ST, LE ROY, NY, 14482
4061 ROUTE 104, WILLIAMSON, NY, 14589
609 EAST MAIN STREET, PALMYRA, NY, 14522
151 West Main Street, Le Roy, NY, 14482
10 EAST AVE, ALBION, NY, 14411
539 North Main Street, Canandaigua, NY, 14424
4235 Veteran Dr, Geneseo, NY, 14454
4287 Genesee Valley Plaza, Geneseo, NY, 14454
13858 State Route 31, Albion, NY, 14411
800 West Miller St., Newark, NY, 14513
709 W UNION ST, NEWARK, NY, 14513
601 E. Main Street, Batavia, NY, 14020
18 EASTERN BLVD, CANANDAIGUA, NY, 14424
170 Eastern Blvd., Canandaigua, NY, 14424
101 South  Main Street, Newark, NY, 14513
345 Eastern Boulevard, Canandaigua, NY, 14424
4238 Recreation Dr, Canandaigua, NY, 14424
4133 Veterans Memorial Dr, Batavia, NY, 14020
4155 West Main Street, Batavia, NY, 14020
6788 State Route 31 E, Newark, NY, 14513
40 E STATE ST, MOUNT MORRIS, NY, 14510
1422 S MAIN ST, MEDINA, NY, 14103
128 N CENTER ST, PERRY, NY, 14530
2348 Route 19 N, Warsaw, NY, 14569
153 Prospect Street, Attica, NY, 14011
990 State Route 5 And 20, Geneva, NY, 14456
75 NORTH MAIN ST, Warsaw, NY, 14569
431 HAMILTON ST, GENEVA, NY, 14456
300 Hamilton Street, Geneva, NY, 14456
420 Hamilton Street, Geneva, NY, 14456
5651 WHISKEY HILL ROAD, WOLCOTT, NY, 14590
9519 FOSTER WHEELER RD, DANSVILLE, NY, 14437
12 WEST MAIN ST, Waterloo, NY, 13165
12983 Main Road, Akron, NY, 14001
1860 N Road, Waterloo, NY, 13165
1929 US ROUTE 20, WATERLOO, NY, 13165
13090 Broadway Road, Alden, NY, 14004
226 LIBERTY ST, PENN YAN, NY, 14527
138 Elm Street, Penn Yan, NY, 14527
6616 Lincoln Avenue, Lockport, NY, 14094
3987 Lockport Olcott Road, Lockport, NY, 14094
130 Washburn Street, Lockport, NY, 14094
5735 South Transit Road, Lockport, NY, 14094
125 South Transit Street, Lockport, NY, 14094
5 N TRANSIT ST, LOCKPORT, NY, 14094
459 South Transit Street, Lockport, NY, 14094
9217 MAIN ST, CLARENCE, NY, 14031
9160 Main Street, Clarence, NY, 14031
6785 TRANSIT RD, EAST AMHERST, NY, 14051
8530 Transit Rd, Amherst, NY, 14221
5275 TRANSIT RD, BUFFALO, NY, 14221
5033 Transit Rd, Williamsville, NY, 14221
8270 Transit Road, Williamsville, NY, 14221
60 Central Avenue, Lancaster, NY, 14086
2317 BOWEN ROAD, Elma, NY, 14059
1640 Hopkins Road, Williamsville, NY, 14221
6000 Transit Road, Depew, NY, 14043
4900 Broadway, Depew, NY, 14043
10560 RT 19, Fillmore, NY, 14735
120 PLAZA DR, WILLIAMSVILLE, NY, 14221
4815 BROADWAY, DEPEW, NY, 14043
5275 Sheridan Drive, Williamsville, NY, 14221
480 Evans Road, Williamsville, NY, 14221
4975 Transit Rd, Lancaster, NY, 14043
597 OAKWOOD AVE, EAST AURORA, NY, 14052
314 GENESEE ST, AUBURN, NY, 13021
4937 Transit Road, Depew, NY, 14043
4960 Transit Road, Depew, NY, 14043
2545 Millersport Highway, Getzville, NY, 14068
190 Main Street, East Aurora, NY, 14052
5447 Main Street, Williamsville, NY, 14221
1 Loop Road, Auburn, NY, 13021
5305 MAIN ST, WILLIAMSVILLE, NY, 14221
651 Dick Road, Depew, NY, 14043
1180 FRENCH RD, CHEEKTOWAGA, NY, 14227
578 DICK RD, DEPEW, NY, 14043
297 Grant Ave, Auburn, NY, 13021
153 Grant Avenue, Auburn, NY, 13021
150 GRANT AVE, AUBURN, NY, 13021
2500 Walden Ave, Cheektowaga, NY, 14225
1031 Cleveland Drive, Cheektowaga, NY, 14225
3735 Union Rd., Cheektowaga, NY, 14225
3950 Union Road, Cheektowaga, NY, 14225
1000 Highway 36 North, Hornell, NY, 14843
1000 State Route 36, Hornell, NY, 14843
2043 KENSINGTON AVE, AMHERST, NY, 14226
3924 Harlem Road, Amherst, NY, 14226
24 West Bridge Street, Oswego, NY, 13126
2561 Union Road, Cheektowaga, NY, 14227
3605 SHERIDAN DR, AMHERST, NY, 14226
3135 Niagara Falls Blvd, Amherst, NY, 14228
2970 NIAGARA FALLS BLVD, AMHERST, NY, 14228
2887 Harlem Road, Cheektowaga, NY, 14225
2330 Niagara Falls Blvd., Tonawanda, NY, 14150
3290 Sheridan Dr, Amherst, NY, 14226
675 Alberta Drive, Amherst, NY, 14226
3249 Sheridan Drive, Amherst, NY, 14226
1479 Kensington Ave, Buffalo, NY, 14215
2401 Genesee Street, Cheektowaga, NY, 14225
886 Niagara Falls Blvd, North Tonawanda, NY, 14120
1818 State Route 3, Fulton, NY, 13069
12 PARK DR, HORNELL, NY, 14843
1454 Union Road, West Seneca, NY, 14224
137 State Route 104, Oswego, NY, 13126
3488 MAIN ST, BUFFALO, NY, 14214
2315 William Street, Buffalo, NY, 14206
250 STATE ROUTE 104, OSWEGO, NY, 13126
4018 Seneca Street, West Seneca, NY, 14224
341 State Route 104, Oswego, NY, 13126
940 UNION RD, WEST SENECA, NY, 14224
2601 SHERIDAN DR, TONAWANDA, NY, 14150
2474 Bailey Avenue, Buffalo, NY, 14215
815 HARLEM RD, WEST SENECA, NY, 14224
798 Harlem Road, West Seneca, NY, 14224
1381 Nash Road, North Tonawanda, NY, 14120
1224 East Lovejoy Street, Buffalo, NY, 14206
338 West Washington Street, Bath, NY, 14810
419 Division Street, North Tonawanda, NY, 14120
3008 UNION RD, ORCHARD PARK, NY, 14127
321 W WASHINGTON ST, BATH, NY, 14810
3050 Union Road, Orchard Park, NY, 14127
12 W First St South, Fulton, NY, 13069
1625 Broadway Street, Buffalo, NY, 14212
343 Meadow Drive, North Tonawanda, NY, 14120
370 Orchard Park Road, West Seneca, NY, 14224
3242 ROUTE 39, YORKSHIRE, NY, 14173
P.O.Box 617, Yorkshire, NY, 14173
2585 Main Street, Buffalo, NY, 14214
1066 PAYNE AVE, NORTH TONAWANDA, NY, 14120
2047 Sheridan Drive, Buffalo, NY, 14223
110 EAST BROADWAY STREET, FULTON, NY, 13069
4060 North Buffalo Road, Orchard Park, NY, 14127
4328 S. BUFFALO ST, Orchard Park, NY, 14127
1556 HERTEL AVE, BUFFALO, NY, 14216
10 YOUNG ST, TONAWANDA, NY, 14150
654 Colvin Avenue, Kenmore, NY, 14217
47 Niagara Street, Tonawanda, NY, 14150
4220 Delaware Avenue, Tonawanda, NY, 14150
3636 Ransomville Road, Ransomville, NY, 14131
1941 Seneca Street, Buffalo, NY, 14210
1070 Genesee Street, Buffalo, NY, 14211
3564 DELAWARE AVE, TONAWANDA, NY, 14217
845 Abbott Road, Buffalo, NY, 14220
2739 DELAWARE AVE, KENMORE, NY, 14217
2818 Delaware Avenue, Kenmore, NY, 14217
1328 ABBOTT RD, LACKAWANNA, NY, 14218
2865 Elmwood Avenue, Kenmore, NY, 14217
2453 Elmwood Avenue, Kenmore, NY, 14217
2175 South Park Avenue, Buffalo, NY, 14220
1410 Delaware Avenue, Buffalo, NY, 14209
476 William Street, Buffalo, NY, 14206
429 WILLIAM ST, BUFFALO, NY, 14204
601 Amherst Street, Buffalo, NY, 14207
1010 MAIN ST, BUFFALO, NY, 14202
3071-3085 South Park Avenue, Lackawanna, NY, 14218
650 DELAWARE AVE, BUFFALO, NY, 14202
424 Elmwood Ave., Buffalo, NY, 14222
3740 McKinley Pkwy, Buffalo, NY, 14219
4233 LAKE AVE, BLASDELL, NY, 14219
452 Main Street, Buffalo, NY, 14202
2231 DOWNER STREET RD, BALDWINSVILLE, NY, 13027
789 Tonawanda Street, Buffalo, NY, 14207
291 West Ferry Street, Buffalo, NY, 14213
284 Connecticut Street, Buffalo, NY, 14213
300 NIAGARA ST, BUFFALO, NY, 14201
350 Niagara Street, Buffalo, NY, 14201
113 Downer Street, Baldwinsville, NY, 13027
1577 Military Road, Niagara Falls, NY, 14304
1306 MILITARY RD, NIAGARA FALLS, NY, 14304
1728 Grand I Island Blvd, Grand Island, NY, 14072
8015 Niagara Falls Boulevard, Niagara Falls, NY, 14304
1580 Military Rd., Niagara Falls, NY, 14304
7804 Buffalo Avenue, Niagara Falls, NY, 14304
1540 Military Rd, Niagara Falls, NY, 14304
2325 Grand Island Blvd., Grand Island, NY, 14072
2320 GRAND ISLAND BLVD, GRAND ISLAND, NY, 14072
5999 South Park Avenue, Hamburg, NY, 14075
6199 S PARK AVE, HAMBURG, NY, 14075
11 East Main Street, Marcellus, NY, 13108
140 Pine Street, Hamburg, NY, 14075
4407 Military Road, Niagara Falls, NY, 14305
206 Lake Street, Hamburg, NY, 14075
5700 W GENESEE ST STE 106, CAMILLUS, NY, 13031
5360 Southwestern Blvd, Hamburg, NY, 14075
220 PORTAGE RD, LEWISTON, NY, 14092
515 E 4th St, Watkins Glen, NY, 14891
